date,pre,hum,tem,occ
28/05/2020 09:30,94822.75,61.94,29.97,L
28/05/2020 02:25,94442.35,54.76,31.07,L
04/06/2020 10:00,94712.64,61.19,30.09,E
04/06/2020 05:45,94564.56,59.78,30.46,L
04/06/2020 09:35,94725.16,61.41,30,L
28/05/2020 03:30,94410.07,55.32,31.03,L
29/05/2020 00:00,95059.08,43.29,32.1,L
29/05/2020 00:10,95110.28,43.18,31.91,M
04/06/2020 11:15,94695.59,60.25,30.62,L
25/05/2020 19:45,93789.04,44.37,32.66,L
29/05/2020 08:05,95123.95,53.06,29.27,L
15/05/2020 00:10,94358.37,59.33,30.76,H
01/06/2020 11:05,95235.54,61.23,28.48,E
04/06/2020 12:20,94677.36,60.05,30.66,L
27/05/2020 07:25,94784.56,62.45,27.16,E
25/05/2020 23:30,94177.33,51.29,32.6,M
25/05/2020 23:10,94145.19,51.24,32.43,L
15/05/2020 00:25,94347.63,60.32,30.47,M
28/05/2020 03:15,94396.55,55.18,31.02,L
29/05/2020 01:40,95380.87,50.84,31.01,L
01/06/2020 02:05,95120.08,56.89,29.63,L
01/06/2020 10:05,95252.52,62.18,28.15,E
27/05/2020 00:20,94867.97,59.91,28.54,E
28/05/2020 03:10,94407.47,55.17,31.01,L
27/05/2020 02:40,94797.03,57.14,29.66,L
04/06/2020 05:35,94566.02,59.57,30.52,L
29/05/2020 00:30,95152.37,48.41,31.86,M
14/05/2020 22:35,94321.38,56.45,30.87,L
28/05/2020 10:00,94827.96,60.9,30.17,L
29/05/2020 00:55,95238.18,45.62,31.48,M
27/05/2020 03:50,94757.93,56.72,29.73,L
04/06/2020 21:25,94514.35,46.05,31.11,L
28/05/2020 06:25,94677.6,57.02,30.93,L
24/05/2020 12:55,94242.75,52.69,31.91,L
25/05/2020 16:55,93882.42,49.87,32.23,M
01/06/2020 05:40,95047.89,57.35,29.43,L
26/05/2020 02:25,94232.55,54.79,30.73,L
04/06/2020 02:05,94640.81,53.69,31.08,L
26/05/2020 01:25,94350.55,47.43,31.73,L
01/06/2020 07:45,95105.79,62.55,26.72,E
01/06/2020 03:20,95089.71,58.64,29.72,L
26/05/2020 03:00,94223.03,55.46,29.92,L
04/06/2020 13:25,94621.97,58.59,30.85,L
